datetime,open,high,low,close,volume,position
2020-08-19,99.725,99.725,99.725,99.725,0,0
2020-08-20,99.725,99.725,99.725,99.725,0,0
2020-08-21,99.715,99.715,99.715,99.715,0,0
2020-08-24,99.72,99.72,99.72,99.72,0,0
2020-08-25,99.71,99.71,99.71,99.71,0,0
2020-08-26,99.705,99.705,99.705,99.705,0,0
2020-08-27,99.695,99.695,99.695,99.695,0,0
2020-08-28,99.715,99.715,99.715,99.715,0,0
2020-08-31,99.72,99.72,99.72,99.72,0,0
2020-09-01,99.725,99.725,99.725,99.725,0,0
2020-09-02,99.715,99.715,99.715,99.715,0,0
2020-09-03,99.725,99.725,99.725,99.725,0,0
2020-09-04,99.695,99.695,99.695,99.695,0,0
2020-09-08,99.705,99.705,99.705,99.705,0,0
2020-09-09,99.7,99.7,99.7,99.7,0,0
2020-09-10,99.705,99.705,99.705,99.705,0,0
2020-09-11,99.73,99.73,99.73,99.73,0,0
2020-09-14,99.74,99.74,99.74,99.74,0,0
2020-09-15,99.735,99.735,99.735,99.735,0,0
2020-09-16,99.715,99.715,99.715,99.715,0,0
2020-09-17,99.72,99.72,99.72,99.72,0,0
2020-09-18,99.705,99.705,99.705,99.705,0,0
2020-09-21,99.725,99.725,99.725,99.725,0,0
2020-09-22,99.735,99.735,99.735,99.735,0,0
2020-09-23,99.735,99.735,99.735,99.735,0,0
2020-09-24,99.73,99.73,99.73,99.73,0,0
2020-09-25,99.73,99.73,99.73,99.73,0,0
2020-09-28,99.72,99.72,99.72,99.72,0,0
2020-09-29,99.72,99.72,99.72,99.72,0,0
2020-09-30,99.715,99.715,99.715,99.715,0,0
2020-10-01,99.715,99.715,99.715,99.715,0,0
2020-10-02,99.715,99.715,99.715,99.715,0,0
2020-10-05,99.665,99.665,99.665,99.665,0,0
2020-10-06,99.665,99.665,99.665,99.665,0,0
2020-10-07,99.64,99.64,99.64,99.64,0,0
2020-10-08,99.645,99.645,99.645,99.645,0,0
2020-10-09,99.63,99.63,99.63,99.63,0,0
2020-10-12,99.635,99.635,99.635,99.635,0,0
2020-10-13,99.65,99.65,99.65,99.65,0,0
2020-10-14,99.655,99.655,99.655,99.655,0,0
2020-10-15,99.65,99.65,99.65,99.65,0,0
2020-10-16,99.655,99.655,99.655,99.655,0,0
2020-10-19,99.645,99.645,99.645,99.645,0,0
2020-10-20,99.635,99.635,99.635,99.635,0,0
2020-10-21,99.635,99.635,99.635,99.635,0,0
2020-10-22,99.61,99.61,99.61,99.61,0,0
2020-10-23,99.62,99.62,99.62,99.62,0,0
2020-10-26,99.63,99.63,99.63,99.63,0,0
2020-10-27,99.635,99.635,99.635,99.635,0,0
2020-10-28,99.635,99.635,99.635,99.635,0,0
2020-10-29,99.625,99.625,99.625,99.625,0,0
2020-10-30,99.62,99.62,99.62,99.62,0,0
2020-11-02,99.625,99.625,99.625,99.625,0,0
2020-11-03,99.615,99.615,99.615,99.615,0,0
2020-11-04,99.645,99.645,99.645,99.645,0,0
2020-11-05,99.625,99.625,99.625,99.625,0,0
2020-11-06,99.62,99.62,99.62,99.62,0,0
2020-11-09,99.575,99.575,99.575,99.575,0,0
2020-11-10,99.54,99.54,99.54,99.54,0,0
2020-11-11,99.54,99.54,99.54,99.54,0,0
2020-11-12,99.56,99.56,99.56,99.56,0,0
2020-11-13,99.565,99.565,99.565,99.565,0,0
2020-11-16,99.565,99.565,99.565,99.565,0,0
2020-11-17,99.575,99.575,99.575,99.575,0,0
2020-11-18,99.57,99.57,99.57,99.57,0,0
2020-11-19,99.57,99.57,99.57,99.57,0,0
2020-11-20,99.575,99.575,99.575,99.575,0,0
2020-11-23,99.56,99.56,99.56,99.56,0,0
2020-11-24,99.565,99.565,99.565,99.565,0,0
2020-11-25,99.57,99.57,99.57,99.57,0,0
2020-11-27,99.575,99.575,99.575,99.575,0,0
2020-11-30,99.57,99.57,99.57,99.57,0,0
2020-12-01,99.545,99.545,99.545,99.545,0,0
2020-12-02,99.54,99.54,99.54,99.54,0,0
2020-12-03,99.535,99.535,99.535,99.535,0,0
2020-12-04,99.52,99.52,99.52,99.52,0,0
2020-12-07,99.51,99.51,99.51,99.51,0,0
2020-12-08,99.51,99.51,99.51,99.51,0,0
2020-12-09,99.405,99.405,99.405,99.405,0,0
2020-12-10,99.025,99.025,99.025,99.025,0,0
2020-12-11,98.695,98.695,98.695,98.695,0,0
2020-12-14,98.695,98.695,98.695,98.695,0,0
2020-12-15,98.695,98.695,98.695,98.695,0,0
2020-12-16,98.69,98.69,98.69,98.69,0,0
2020-12-17,98.68,98.68,98.68,98.68,0,0
2020-12-18,98.585,98.585,98.585,98.585,0,0
2020-12-21,98.585,98.585,98.585,98.585,0,0
2020-12-22,98.59,98.59,98.59,98.59,0,0
2020-12-23,98.585,98.585,98.585,98.585,0,0
2020-12-24,98.585,98.585,98.585,98.585,0,0
2020-12-28,98.58,98.58,98.58,98.58,0,0
2020-12-29,98.585,98.585,98.585,98.585,0,0
2020-12-30,98.6,98.6,98.6,98.6,0,0
2020-12-31,98.61,98.61,98.61,98.61,0,0
2021-01-04,98.62,98.62,98.62,98.62,0,0
2021-01-05,98.61,98.61,98.61,98.61,0,0
2021-01-06,98.565,98.565,98.565,98.565,0,0
2021-01-07,98.335,98.335,98.335,98.335,0,0
2021-01-08,98.295,98.295,98.295,98.295,0,0
2021-01-11,98.29,98.29,98.29,98.29,0,0
2021-01-12,98.285,98.285,98.285,98.285,0,0
2021-01-13,98.31,98.31,98.31,98.31,0,0
2021-01-14,98.325,98.325,98.325,98.325,0,0
2021-01-15,98.325,98.325,98.325,98.325,0,0
2021-01-19,98.335,98.335,98.335,98.335,0,0
2021-01-20,98.335,98.335,98.335,98.335,0,0
2021-01-21,98.32,98.32,98.32,98.32,0,0
2021-01-22,98.325,98.325,98.325,98.325,0,0
2021-01-25,98.325,98.325,98.325,98.325,0,0
2021-01-26,98.32,98.32,98.32,98.32,0,0
2021-01-27,98.325,98.325,98.325,98.325,0,0
2021-01-28,98.33,98.33,98.33,98.33,0,0
2021-01-29,98.325,98.325,98.325,98.325,0,0
2021-02-01,98.325,98.325,98.325,98.325,0,0
2021-02-02,98.26,98.26,98.26,98.26,0,0
2021-02-03,98.245,98.245,98.245,98.245,0,0
2021-02-04,98.105,98.105,98.105,98.105,0,0
2021-02-05,98.1,98.1,98.1,98.1,0,0
2021-02-08,98.08,98.08,98.08,98.08,0,0
2021-02-09,98.09,98.09,98.09,98.09,0,0
2021-02-10,98.105,98.105,98.105,98.105,0,0
2021-02-11,98.095,98.095,98.095,98.095,0,0
2021-02-12,97.99,97.99,97.99,97.99,0,0
2021-02-16,97.87,97.87,97.87,97.87,0,0
2021-02-17,97.845,97.845,97.845,97.845,0,0
2021-02-18,97.79,97.79,97.79,97.79,0,0
2021-02-19,97.745,97.745,97.745,97.745,0,0
2021-02-22,97.71,97.71,97.71,97.71,0,0
2021-02-23,97.72,97.72,97.72,97.72,0,0
2021-02-24,97.695,97.695,97.695,97.695,0,0
2021-02-25,97.605,97.605,97.605,97.605,0,0
2021-02-26,97.6,97.6,97.6,97.6,0,0
2021-03-01,97.71,97.71,97.71,97.71,0,0
2021-03-02,97.75,97.75,97.75,97.75,0,0
2021-03-03,97.695,97.695,97.695,97.695,0,0
2021-03-04,97.63,97.63,97.63,97.63,0,0
2021-03-05,97.64,97.64,97.64,97.64,0,0
2021-03-08,97.575,97.575,97.575,97.575,0,0
2021-03-09,97.63,97.63,97.63,97.63,0,0
2021-03-10,97.66,97.66,97.66,97.66,0,0
2021-03-11,97.645,97.645,97.645,97.645,0,0
2021-03-12,97.575,97.575,97.575,97.575,0,0
2021-03-15,97.59,97.59,97.59,97.59,0,0
2021-03-16,97.595,97.595,97.595,97.595,0,0
2021-03-17,97.64,97.64,97.64,97.64,0,0
2021-03-18,97.45,97.45,97.45,97.45,0,0
2021-03-19,97.27,97.27,97.27,97.27,0,0
2021-03-22,97.315,97.315,97.315,97.315,0,0
2021-03-23,97.375,97.375,97.375,97.375,0,0
2021-03-24,97.395,97.395,97.395,97.395,0,0
2021-03-25,97.43,97.43,97.43,97.43,0,0
2021-03-26,97.37,97.37,97.37,97.37,0,0
2021-03-29,97.29,97.29,97.29,97.29,0,0
2021-03-30,97.265,97.265,97.265,97.265,0,0
2021-03-31,97.23,97.23,97.23,97.23,0,0
2021-04-01,97.36,97.36,97.36,97.36,0,0
2021-04-02,97.295,97.295,97.295,97.295,0,0
2021-04-05,97.31,97.31,97.31,97.31,0,0
2021-04-06,97.415,97.415,97.415,97.415,0,0
2021-04-07,97.44,97.44,97.44,97.44,0,0
2021-04-08,97.48,97.48,97.48,97.48,0,0
2021-04-09,97.45,97.45,97.45,97.45,0,0
2021-04-12,97.44,97.44,97.44,97.44,0,0
2021-04-13,97.535,97.535,97.535,97.535,0,0
2021-04-14,97.545,97.545,97.545,97.545,0,0
2021-04-15,97.69,97.69,97.69,97.69,0,0
2021-04-16,97.65,97.65,97.65,97.65,0,0
2021-04-19,97.635,97.635,97.635,97.635,0,0
2021-04-20,97.66,97.66,97.66,97.66,0,0
2021-04-21,97.655,97.655,97.655,97.655,0,0
2021-04-22,97.655,97.655,97.655,97.655,0,0
2021-04-23,97.63,97.63,97.63,97.63,0,0
2021-04-26,97.62,97.62,97.62,97.62,0,0
2021-04-27,97.56,97.56,97.56,97.56,0,0
2021-04-28,97.55,97.55,97.55,97.55,0,0
2021-04-29,97.525,97.525,97.525,97.525,0,0
2021-04-30,97.525,97.525,97.525,97.525,0,0
2021-05-03,97.56,97.56,97.56,97.56,0,0
2021-05-04,97.585,97.585,97.585,97.585,0,0
2021-05-05,97.61,97.61,97.61,97.61,0,0
2021-05-06,97.635,97.635,97.635,97.635,0,0
2021-05-07,97.62,97.62,97.62,97.62,0,0
2021-05-10,97.59,97.59,97.59,97.59,0,0
2021-05-11,97.565,97.565,97.565,97.565,0,0
2021-05-12,97.465,97.465,97.465,97.465,0,0
2021-05-13,97.52,97.52,97.52,97.52,0,0
2021-05-14,97.565,97.565,97.565,97.565,0,0
2021-05-17,97.555,97.555,97.555,97.555,0,0
2021-05-18,97.55,97.55,97.55,97.55,0,0
2021-05-19,97.51,97.51,97.51,97.51,0,0
2021-05-20,97.57,97.57,97.57,97.57,0,0
2021-05-21,97.565,97.565,97.565,97.565,0,0
2021-05-24,97.605,97.605,97.605,97.605,0,0
2021-05-25,97.655,97.655,97.655,97.655,0,0
2021-05-26,97.635,97.635,97.635,97.635,0,0
2021-05-27,97.585,97.585,97.585,97.585,0,0
2021-05-28,97.57,97.57,97.57,97.57,0,0
2021-06-01,97.525,97.525,97.525,97.525,0,0
2021-06-02,97.56,97.56,97.56,97.56,0,0
2021-06-03,97.51,97.51,97.51,97.51,0,0
2021-06-04,97.605,97.605,97.605,97.605,0,0
2021-06-07,97.615,97.615,97.615,97.615,0,0
2021-06-08,97.66,97.66,97.66,97.66,0,0
2021-06-09,97.71,97.71,97.71,97.71,0,0
2021-06-10,97.745,97.745,97.745,97.745,0,0
2021-06-11,97.725,97.725,97.725,97.725,0,0
2021-06-14,97.79,97.79,97.79,97.79,0,0
2021-06-15,97.805,97.805,97.805,97.805,0,0
2021-06-16,97.785,97.785,97.785,97.785,0,0
2021-06-17,97.925,97.925,97.925,97.925,0,0
2021-06-18,98.04,98.04,98.04,98.04,0,0
2021-06-21,97.98,97.98,97.98,97.98,0,0
2021-06-22,97.985,97.985,97.985,97.985,0,0
2021-06-23,97.95,97.95,97.95,97.95,0,0
2021-06-24,97.96,97.96,97.96,97.96,0,0
2021-06-25,97.915,97.915,97.915,97.915,0,0
2021-06-28,98.0,98.0,98.0,98.0,0,0
2021-06-29,98.01,98.01,98.01,98.01,0,0
2021-06-30,98.095,98.095,98.095,98.095,0,0
2021-07-01,98.06,98.06,98.06,98.06,0,0
2021-07-02,98.125,98.125,98.125,98.125,0,0
2021-07-06,98.21,98.21,98.21,98.21,0,0
2021-07-07,98.265,98.265,98.265,98.265,0,0
2021-07-08,98.28,98.28,98.28,98.28,0,0
2021-07-09,98.185,98.185,98.185,98.185,0,0
2021-07-12,98.19,98.19,98.19,98.19,0,0
2021-07-13,98.125,98.125,98.125,98.125,0,0
2021-07-14,98.215,98.215,98.215,98.215,0,0
2021-07-15,98.315,98.315,98.315,98.315,0,0
2021-07-16,98.34,98.34,98.34,98.34,0,0
2021-07-19,98.52,98.52,98.52,98.52,0,0
2021-07-20,98.425,98.425,98.425,98.425,0,0
2021-07-21,98.31,98.31,98.31,98.31,0,0
2021-07-22,98.315,98.315,98.315,98.315,0,0
2021-07-23,98.29,98.29,98.29,98.29,0,0
2021-07-26,98.31,98.31,98.31,98.31,0,0
2021-07-27,98.345,98.345,98.345,98.345,0,0
2021-07-28,98.325,98.325,98.325,98.325,0,0
2021-07-29,98.3,98.3,98.3,98.3,0,0
2021-07-30,98.32,98.32,98.32,98.32,0,0
2021-08-02,98.415,98.415,98.415,98.415,0,0
2021-08-03,98.41,98.41,98.41,98.41,0,0
2021-08-04,98.415,98.415,98.415,98.415,0,0
2021-08-05,98.415,98.415,98.415,98.415,0,0
2021-08-06,98.32,98.32,98.32,98.32,0,0
2021-08-09,98.285,98.285,98.285,98.285,0,0
2021-08-10,98.275,98.275,98.275,98.275,0,0
2021-08-11,98.25,98.25,98.25,98.25,0,0
2021-08-12,98.23,98.23,98.23,98.23,0,0
2021-08-13,98.325,98.325,98.325,98.325,0,0
2021-08-16,98.375,98.375,98.375,98.375,0,0
2021-08-17,98.37,98.37,98.37,98.37,0,0
2021-08-18,98.33,98.33,98.33,98.33,0,0
2021-08-19,98.38,98.38,98.38,98.38,0,0
2021-08-20,98.355,98.355,98.355,98.355,0,0
2021-08-23,98.365,98.365,98.365,98.365,0,0
2021-08-24,98.31,98.31,98.31,98.31,0,0
2021-08-25,98.235,98.235,98.235,98.235,0,0
2021-08-26,98.225,98.225,98.225,98.225,0,0
2021-08-27,98.255,98.255,98.255,98.255,0,0
2021-08-30,98.245,98.245,98.245,98.245,0,0
2021-08-31,98.2,98.2,98.2,98.2,0,0
2021-09-01,98.215,98.215,98.215,98.215,0,0
2021-09-02,98.225,98.225,98.225,98.225,0,0
2021-09-03,98.165,98.165,98.165,98.165,0,0
2021-09-07,98.115,98.115,98.115,98.115,0,0
2021-09-08,98.165,98.165,98.165,98.165,0,0
2021-09-09,98.205,98.205,98.205,98.205,0,0
2021-09-10,98.125,98.125,98.125,98.125,0,0
2021-09-13,98.155,98.155,98.155,98.155,0,0
2021-09-14,98.235,98.235,98.235,98.235,0,0
2021-09-15,98.2,98.2,98.2,98.2,0,0
2021-09-16,98.16,98.16,98.16,98.16,0,0
2021-09-17,98.09,98.09,98.09,98.09,0,0
2021-09-20,98.165,98.165,98.165,98.165,0,0
2021-09-21,98.16,98.16,98.16,98.16,0,0
2021-09-22,98.245,98.245,98.245,98.245,0,0
2021-09-23,98.15,98.15,98.15,98.15,0,0
2021-09-24,98.07,98.07,98.07,98.07,0,0
2021-09-27,98.02,98.02,98.02,98.02,0,0
2021-09-28,97.915,97.915,97.915,97.915,0,0
2021-09-29,97.875,97.875,97.875,97.875,0,0
2021-09-30,97.88,97.88,97.88,97.88,0,0
2021-10-01,97.93,97.93,97.93,97.93,0,0
2021-10-04,97.955,97.955,97.955,97.955,0,0
2021-10-05,97.905,97.905,97.905,97.905,0,0
2021-10-06,97.925,97.925,97.925,97.925,0,0
2021-10-07,97.865,97.865,97.865,97.865,0,0
2021-10-08,97.815,97.815,97.815,97.815,0,0
2021-10-11,97.82,97.82,97.82,97.82,0,0
2021-10-12,97.915,97.915,97.915,97.915,0,0
2021-10-13,98.045,98.045,98.045,98.045,0,0
2021-10-14,98.085,98.085,98.085,98.085,0,0
2021-10-15,98.03,98.03,98.03,98.03,0,0
2021-10-18,98.06,98.06,98.06,98.06,0,0
2021-10-19,97.945,97.945,97.945,97.945,0,0
2021-10-20,97.915,97.915,97.915,97.915,0,0
2021-10-21,97.88,97.88,97.88,97.88,0,0
2021-10-22,97.935,97.935,97.935,97.935,0,0
2021-10-25,97.975,97.975,97.975,97.975,0,0
2021-10-26,97.985,97.985,97.985,97.985,0,0
2021-10-27,98.17,98.17,98.17,98.17,0,0
2021-10-28,98.15,98.15,98.15,98.15,0,0
2021-10-29,98.18,98.18,98.18,98.18,0,0
2021-11-01,98.14,98.14,98.14,98.14,0,0
2021-11-02,98.105,98.105,98.105,98.105,0,0
2021-11-03,98.085,98.085,98.085,98.085,0,0
2021-11-04,98.115,98.115,98.115,98.115,0,0
2021-11-05,98.21,98.21,98.21,98.21,0,0
2021-11-08,98.185,98.185,98.185,98.185,0,0
2021-11-09,98.285,98.285,98.285,98.285,0,0
2021-11-10,98.24,98.24,98.24,98.24,0,0
2021-11-11,98.225,98.225,98.225,98.225,0,0
2021-11-12,98.21,98.21,98.21,98.21,0,0
2021-11-15,98.185,98.185,98.185,98.185,0,0
2021-11-16,98.145,98.145,98.145,98.145,0,0
2021-11-17,98.17,98.17,98.17,98.17,0,0
2021-11-18,98.195,98.195,98.195,98.195,0,0
2021-11-19,98.26,98.26,98.26,98.26,0,0
2021-11-22,98.155,98.155,98.155,98.155,0,0
2021-11-23,98.085,98.085,98.085,98.085,0,0
2021-11-24,98.125,98.125,98.125,98.125,0,0
2021-11-26,98.3,98.3,98.3,98.3,0,0
2021-11-29,98.17,98.17,98.17,98.17,0,0
2021-11-30,98.285,98.285,98.285,98.285,0,0
2021-12-01,98.35,98.35,98.35,98.35,0,0
2021-12-02,98.39,98.39,98.39,98.39,0,0
2021-12-03,98.545,98.545,98.545,98.545,0,0
2021-12-06,98.4,98.4,98.4,98.4,0,0
2021-12-07,98.37,98.37,98.37,98.37,0,0
2021-12-08,98.345,98.345,98.345,98.345,0,0
2021-12-09,98.395,98.395,98.395,98.395,0,0
2021-12-10,98.37,98.37,98.37,98.37,0,0
2021-12-13,98.435,98.435,98.435,98.435,0,0
2021-12-14,98.44,98.44,98.44,98.44,0,0
2021-12-15,98.465,98.465,98.465,98.465,0,0
2021-12-16,98.49,98.49,98.49,98.49,0,0
2021-12-17,98.53,98.53,98.53,98.53,0,0
2021-12-20,98.45,98.45,98.45,98.45,0,0
2021-12-21,98.355,98.355,98.355,98.355,0,0
2021-12-22,98.395,98.395,98.395,98.395,0,0
2021-12-23,98.37,98.37,98.37,98.37,0,0
2021-12-27,98.405,98.405,98.405,98.405,0,0
2021-12-28,98.435,98.435,98.435,98.435,0,0
2021-12-29,98.34,98.34,98.34,98.34,0,0
2021-12-30,98.35,98.35,98.35,98.35,0,0
2021-12-31,98.365,98.365,98.365,98.365,0,0
2022-01-03,98.195,98.195,98.195,98.195,0,0
2022-01-04,98.135,98.135,98.135,98.135,0,0
2022-01-05,98.12,98.12,98.12,98.12,0,0
2022-01-06,98.095,98.095,98.095,98.095,0,0
2022-01-07,98.08,98.08,98.08,98.08,0,0
2022-01-10,98.085,98.085,98.085,98.085,0,0
2022-01-11,98.135,98.135,98.135,98.135,0,0
2022-01-12,98.18,98.18,98.18,98.18,0,0
2022-01-13,98.21,98.21,98.21,98.21,0,0
2022-01-14,98.135,98.135,98.135,98.135,0,0
2022-01-18,98.03,98.03,98.03,98.03,0,0
2022-01-19,98.085,98.085,98.085,98.085,0,0
2022-01-20,98.095,98.095,98.095,98.095,0,0
2022-01-21,98.165,98.165,98.165,98.165,0,0
2022-01-24,98.18,98.18,98.18,98.18,0,0
2022-01-25,98.115,98.115,98.115,98.115,0,0
2022-01-26,98.05,98.05,98.05,98.05,0,0
2022-01-27,98.155,98.155,98.155,98.155,0,0
2022-01-28,98.195,98.195,98.195,98.195,0,0
2022-01-31,98.185,98.185,98.185,98.185,0,0
2022-02-01,98.175,98.175,98.175,98.175,0,0
2022-02-02,98.21,98.21,98.21,98.21,0,0
2022-02-03,98.17,98.17,98.17,98.17,0,0
2022-02-04,98.06,98.06,98.06,98.06,0,0
2022-02-07,98.075,98.075,98.075,98.075,0,0
2022-02-08,98.035,98.035,98.035,98.035,0,0
2022-02-09,98.075,98.075,98.075,98.075,0,0
2022-02-10,98.005,98.005,98.005,98.005,0,0
2022-02-11,98.115,98.115,98.115,98.115,0,0
2022-02-14,98.07,98.07,98.07,98.07,0,0
2022-02-15,97.985,97.985,97.985,97.985,0,0
2022-02-16,97.975,97.975,97.975,97.975,0,0
2022-02-17,98.065,98.065,98.065,98.065,0,0
2022-02-18,98.11,98.11,98.11,98.11,0,0
2022-02-22,98.12,98.12,98.12,98.12,0,0
2022-02-23,98.08,98.08,98.08,98.08,0,0
2022-02-24,98.055,98.055,98.055,98.055,0,0
2022-02-25,98.045,98.045,98.045,98.045,0,0
2022-02-28,98.185,98.185,98.185,98.185,0,0
2022-03-01,98.295,98.295,98.295,98.295,0,0
2022-03-02,98.15,98.15,98.15,98.15,0,0
2022-03-03,98.195,98.195,98.195,98.195,0,0
2022-03-04,98.33,98.33,98.33,98.33,0,0
2022-03-07,98.355,98.355,98.355,98.355,0,0
2022-03-08,98.24,98.24,98.24,98.24,0,0
2022-03-09,98.145,98.145,98.145,98.145,0,0
2022-03-10,98.07,98.07,98.07,98.07,0,0
2022-03-11,98.06,98.06,98.06,98.06,0,0
2022-03-14,97.9,97.9,97.9,97.9,0,0
2022-03-15,97.875,97.875,97.875,97.875,0,0
2022-03-16,97.87,97.87,97.87,97.87,0,0
2022-03-17,97.89,97.89,97.89,97.89,0,0
2022-03-18,97.965,97.965,97.965,97.965,0,0
2022-03-21,97.825,97.825,97.825,97.825,0,0
2022-03-22,97.76,97.76,97.76,97.76,0,0
2022-03-23,97.815,97.815,97.815,97.815,0,0
2022-03-24,97.78,97.78,97.78,97.78,0,0
2022-03-25,97.645,97.645,97.645,97.645,0,0
2022-03-28,97.665,97.665,97.665,97.665,0,0
2022-03-29,97.745,97.745,97.745,97.745,0,0
2022-03-30,97.795,97.795,97.795,97.795,0,0
2022-03-31,97.84,97.84,97.84,97.84,0,0
2022-04-01,97.8,97.8,97.8,97.8,0,0
2022-04-04,97.78,97.78,97.78,97.78,0,0
2022-04-05,97.66,97.66,97.66,97.66,0,0
2022-04-06,97.54,97.54,97.54,97.54,0,0
2022-04-07,97.395,97.395,97.395,97.395,0,0
2022-04-08,97.295,97.295,97.295,97.295,0,0
2022-04-11,97.17,97.17,97.17,97.17,0,0
2022-04-12,97.175,97.175,97.175,97.175,0,0
2022-04-13,97.23,97.23,97.23,97.23,0,0
2022-04-14,97.095,97.095,97.095,97.095,0,0
2022-04-18,96.99,96.99,96.99,96.99,0,0
